district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ศรีบรรพต,เขาย่า,0,constituency,election_day,404,387,9,8,51,3,34,272,25,1,1
ศรีบรรพต,เขาย่า,1,constituency,election_day,396,384,6,6,79,0,25,254,25,0,1
ศรีบรรพต,เขาย่า,2,constituency,election_day,537,524,3,10,129,11,57,302,24,0,1
ศรีบรรพต,เขาย่า,3,constituency,election_day,474,456,11,7,117,2,36,280,21,0,0
ศรีบรรพต,เขาย่า,4,constituency,election_day,451,439,8,4,91,1,49,271,26,0,1
ศรีบรรพต,เขาย่า,5,constituency,election_day,496,468,15,13,164,3,40,232,21,3,5
ศรีบรรพต,เขาย่า,6,constituency,election_day,552,511,18,23,164,3,43,266,32,0,3
ศรีบรรพต,เขาย่า,7,constituency,election_day,537,520,8,9,150,21,71,248,27,1,2
ศรีบรรพต,เขาย่า,8,constituency,election_day,375,359,3,13,45,0,45,249,18,0,2
ศรีบรรพต,เขาย่า,9,constituency,election_day,446,428,13,5,93,0,33,287,15,0,0
ควนขนุน,แพรกหา,0,constituency,election_day,622,609,8,5,137,1,43,389,39,0,0
ควนขนุน,แพรกหา,1,constituency,election_day,346,331,4,11,101,8,54,152,12,2,2
ควนขนุน,แพรกหา,2,constituency,election_day,575,548,7,20,178,2,67,255,39,3,4
ควนขนุน,แพรกหา,3,constituency,election_day,680,651,16,13,229,2,45,333,41,0,1
ควนขนุน,แพรกหา,4,constituency,election_day,677,648,17,12,209,0,69,326,44,0,0
ควนขนุน,แพรกหา,5,constituency,election_day,417,403,6,8,61,2,57,247,31,3,2
ควนขนุน,แพรกหา,6,constituency,election_day,434,421,9,4,154,0,35,204,28,0,0
ควนขนุน,แพรกหา,7,constituency,election_day,385,366,5,14,74,2,49,221,18,2,0
ควนขนุน,แหลมโตนด,0,constituency,election_day,512,494,16,2,263,3,54,151,20,1,2
ควนขนุน,แหลมโตนด,1,constituency,election_day,386,371,11,4,132,20,37,171,11,0,0
ควนขนุน,แหลมโตนด,2,constituency,election_day,326,312,10,4,110,4,16,165,15,0,2
ควนขนุน,แหลมโตนด,3,constituency,election_day,590,559,18,13,161,2,46,314,29,2,5
ควนขนุน,แหลมโตนด,4,constituency,election_day,305,292,4,9,126,7,33,115,11,0,0
